# t[days]  RBER_PE_0  RBER_PE_3000  RBER_PE_10000
2.422023e+03  2.763273e-06  1.445568e-04  2.057073e-02
2.523421e+03  2.813091e-06  1.501900e-04  2.191528e-02
2.629064e+03  2.864073e-06  1.560591e-04  2.334979e-02
2.739130e+03  2.916242e-06  1.621739e-04  2.488036e-02
2.853804e+03  2.969619e-06  1.685446e-04  2.651344e-02
2.973278e+03  3.024230e-06  1.751821e-04  2.825597e-02
3.097755e+03  3.080097e-06  1.820975e-04  3.011534e-02
3.227442e+03  3.137245e-06  1.893023e-04  3.209943e-02
3.362559e+03  3.195699e-06  1.968088e-04  3.421667e-02
3.503333e+03  3.255483e-06  2.046296e-04  3.647606e-02
3.650000e+03  3.316625e-06  2.127778e-04  3.888719e-02
