# LET[MeV*cm2/mg]  Phi[part/cm2/s]  P_recovery
2.588706e+00  1.610262e+04  0.025647
2.588706e+00  2.395027e+04  0.000230
2.588706e+00  3.562248e+04  0.000000
2.588706e+00  5.298317e+04  0.000000
2.588706e+00  7.880463e+04  0.000000
2.588706e+00  1.172102e+05  0.000000
2.588706e+00  1.743329e+05  0.000000
2.588706e+00  2.592944e+05  0.000000
2.588706e+00  3.856620e+05  0.000000
2.588706e+00  5.736153e+05  0.000000
2.588706e+00  8.531679e+05  0.000000
2.588706e+00  1.268961e+06  0.000000
2.588706e+00  1.887392e+06  0.000000
2.588706e+00  2.807216e+06  0.000000
2.588706e+00  4.175319e+06  0.000000
2.588706e+00  6.210169e+06  0.000000
2.588706e+00  9.236709e+06  0.000000
2.588706e+00  1.373824e+07  0.000000
2.588706e+00  2.043360e+07  0.000000
2.588706e+00  3.039195e+07  0.000000
2.588706e+00  4.520354e+07  0.000000
2.588706e+00  6.723358e+07  0.000000
2.588706e+00  1.000000e+08  0.000000

3.107625e+00  1.000000e+03  0.999941
3.107625e+00  1.487352e+03  0.998960
3.107625e+00  2.212216e+03  0.986962
3.107625e+00  3.290345e+03  0.898019
3.107625e+00  4.893901e+03  0.576414
3.107625e+00  7.278954e+03  0.150445
3.107625e+00  1.082637e+04  0.007252
3.107625e+00  1.610262e+04  0.000023
3.107625e+00  2.395027e+04  0.000000
3.107625e+00  3.562248e+04  0.000000
3.107625e+00  5.298317e+04  0.000000
3.107625e+00  7.880463e+04  0.000000
3.107625e+00  1.172102e+05  0.000000
3.107625e+00  1.743329e+05  0.000000
3.107625e+00  2.592944e+05  0.000000
3.107625e+00  3.856620e+05  0.000000
3.107625e+00  5.736153e+05  0.000000
3.107625e+00  8.531679e+05  0.000000
3.107625e+00  1.268961e+06  0.000000
3.107625e+00  1.887392e+06  0.000000
3.107625e+00  2.807216e+06  0.000000
3.107625e+00  4.175319e+06  0.000000
3.107625e+00  6.210169e+06  0.000000
3.107625e+00  9.236709e+06  0.000000
3.107625e+00  1.373824e+07  0.000000
3.107625e+00  2.043360e+07  0.000000
3.107625e+00  3.039195e+07  0.000000
3.107625e+00  4.520354e+07  0.000000
3.107625e+00  6.723358e+07  0.000000
3.107625e+00  1.000000e+08  0.000000

3.730564e+00  1.000000e+03  0.998825
3.730564e+00  1.487352e+03  0.985529
3.730564e+00  2.212216e+03  0.889612
3.730564e+00  3.290345e+03  0.555949
3.730564e+00  4.893901e+03  0.136968
3.730564e+00  7.278954e+03  0.005982
3.730564e+00  1.082637e+04  0.000016
3.730564e+00  1.610262e+04  0.000000
3.730564e+00  2.395027e+04  0.000000
3.730564e+00  3.562248e+04  0.000000
3.730564e+00  5.298317e+04  0.000000
3.730564e+00  7.880463e+04  0.000000
3.730564e+00  1.172102e+05  0.000000
3.730564e+00  1.743329e+05  0.000000
3.730564e+00  2.592944e+05  0.000000
3.730564e+00  3.856620e+05  0.000000
3.730564e+00  5.736153e+05  0.000000
3.730564e+00  8.531679e+05  0.000000
3.730564e+00  1.268961e+06  0.000000
3.730564e+00  1.887392e+06  0.000000
3.730564e+00  2.807216e+06  0.000000
3.730564e+00  4.175319e+06  0.000000
3.730564e+00  6.210169e+06  0.000000
3.730564e+00  9.236709e+06  0.000000
3.730564e+00  1.373824e+07  0.000000
3.730564e+00  2.043360e+07  0.000000
3.730564e+00  3.039195e+07  0.000000
3.730564e+00  4.520354e+07  0.000000
3.730564e+00  6.723358e+07  0.000000
3.730564e+00  1.000000e+08  0.000000

4.478374e+00  1.000000e+03  0.990212
4.478374e+00  1.487352e+03  0.918198
4.478374e+00  2.212216e+03  0.629967
4.478374e+00  3.290345e+03  0.190630
4.478374e+00  4.893901e+03  0.011872
4.478374e+00  7.278954e+03  0.000056
4.478374e+00  1.082637e+04  0.000000
4.478374e+00  1.610262e+04  0.000000
4.478374e+00  2.395027e+04  0.000000
4.478374e+00  3.562248e+04  0.000000
4.478374e+00  5.298317e+04  0.000000
4.478374e+00  7.880463e+04  0.000000
4.478374e+00  1.172102e+05  0.000000
4.478374e+00  1.743329e+05  0.000000
4.478374e+00  2.592944e+05  0.000000
4.478374e+00  3.856620e+05  0.000000
4.478374e+00  5.736153e+05  0.000000
4.478374e+00  8.531679e+05  0.000000
4.478374e+00  1.268961e+06  0.000000
4.478374e+00  1.887392e+06  0.000000
4.478374e+00  2.807216e+06  0.000000
4.478374e+00  4.175319e+06  0.000000
4.478374e+00  6.210169e+06  0.000000
4.478374e+00  9.236709e+06  0.000000
4.478374e+00  1.373824e+07  0.000000
4.478374e+00  2.043360e+07  0.000000
4.478374e+00  3.039195e+07  0.000000
4.478374e+00  4.520354e+07  0.000000
4.478374e+00  6.723358e+07  0.000000
4.478374e+00  1.000000e+08  0.000000

5.376086e+00  1.000000e+03  0.958217
5.376086e+00  1.487352e+03  0.762125
5.376086e+00  2.212216e+03  0.329798
5.376086e+00  3.290345e+03  0.039162
5.376086e+00  4.893901e+03  0.000512
5.376086e+00  7.278954e+03  0.000000
5.376086e+00  1.082637e+04  0.000000
5.376086e+00  1.610262e+04  0.000000
5.376086e+00  2.395027e+04  0.000000
5.376086e+00  3.562248e+04  0.000000
